-------------------- 11x11 grids --------------------
Success on 0 | Time: 30.604
Success on 1 | Time: 30.49
Success on 2 | Time: 41.333
Success on 3 | Time: 30.781
Success on 4 | Time: 30.198
Success on 5 | Time: 30.365
Success on 6 | Time: 30.167
Success on 7 | Time: 30.552
Success on 8 | Time: 30.25
Success on 9 | Time: 30.844
Success on 10 | Time: 27.938
Success on 11 | Time: 30.365
Success on 12 | Time: 30.688
Success on 13 | Time: 44.906
Success on 14 | Time: 30.323
Success on 15 | Time: 28.969
Success on 16 | Time: 50.25
Success on 17 | Time: 30.719
Success on 18 | Time: 40.583
Success on 19 | Time: 30.385
Success on 20 | Time: 30.406
Success on 21 | Time: 30.646
Success on 22 | Time: 30.729
Success on 23 | Time: 30.448
Success on 24 | Time: 30.5
Success on 25 | Time: 30.438
Success on 26 | Time: 30.604
Success on 27 | Time: 30.604
Success on 28 | Time: 30.844
Success on 29 | Time: 41.917
Success on 30 | Time: 30.521
Success on 31 | Time: 29.948
Success on 32 | Time: 30.615
Success on 33 | Time: 30.688
Success on 34 | Time: 30.406
Success on 35 | Time: 30.427
Success on 36 | Time: 42.188
Success on 37 | Time: 30.927
Success on 38 | Time: 29.167
Success on 39 | Time: 46.813
Success on 40 | Time: 30.677
Success on 41 | Time: 40.448
Success on 42 | Time: 57.802
Success on 43 | Time: 29.875
Success on 44 | Time: 29.792
Success on 45 | Time: 30.167
Success on 46 | Time: 80.24
Success on 47 | Time: 56.771
Success on 48 | Time: 40.094
Success on 49 | Time: 31.344
Success on 50 | Time: 30.208
Success on 51 | Time: 56.49
Success on 52 | Time: 39.865
Success on 53 | Time: 46.552
Success on 54 | Time: 40.208
Success on 55 | Time: 30.49
Success on 56 | Time: 41.031
Success on 57 | Time: 28.594
Success on 58 | Time: 30.74
Success on 59 | Time: 30.396
Success on 60 | Time: 30.333
Success on 61 | Time: 30.208
Success on 62 | Time: 30.344
Success on 63 | Time: 30.292
Success on 64 | Time: 29.427
Success on 65 | Time: 30.427
Success on 66 | Time: 30.469
Success on 67 | Time: 30.156
Success on 68 | Time: 30.021
Success on 69 | Time: 28.656
Success on 70 | Time: 40.5
Success on 71 | Time: 30.083
Success on 72 | Time: 30.177
Success on 73 | Time: 30.25
Success on 74 | Time: 56.438
Success on 75 | Time: 30.615
Success on 76 | Time: 30.729
Success on 77 | Time: 30.521
Success on 78 | Time: 30.646
Success on 79 | Time: 29.99
Success on 80 | Time: 30.323
Success on 81 | Time: 40.385
Success on 82 | Time: 30.156
Success on 83 | Time: 40.01
Success on 84 | Time: 30.396
Success on 85 | Time: 30.5
Success on 86 | Time: 30.542
Success on 87 | Time: 29.51
Success on 88 | Time: 30.208
Success on 89 | Time: 30.51
Success on 90 | Time: 39.104
Success on 91 | Time: 30.385
Success on 92 | Time: 30.844
Success on 93 | Time: 41.521
Success on 94 | Time: 39.094
Success on 95 | Time: 30.781
Success on 96 | Time: 40.354
Success on 97 | Time: 41.479
Success on 98 | Time: 28.885
Success on 99 | Time: 30.969
-------------------- 11x23 grids --------------------
Success on 0 | Time: 61.292
Success on 1 | Time: 61.646
Success on 2 | Time: 40.927
Success on 3 | Time: 41.698
Success on 4 | Time: 71.135
Success on 5 | Time: 128.5
Success on 6 | Time: 125.354
Success on 7 | Time: 61.073
Success on 8 | Time: 51.396
Success on 9 | Time: 61.354
Success on 10 | Time: 73.99
Success on 11 | Time: 34.74
Success on 12 | Time: 61.135
Success on 13 | Time: 45.5
Success on 14 | Time: 49.979
Success on 15 | Time: 37.302
Success on 16 | Time: 66.844
Success on 17 | Time: 58.531
Success on 18 | Time: 44.563
Success on 19 | Time: 52.948
Success on 20 | Time: 53.75
Success on 21 | Time: 59.542
Success on 22 | Time: 136.125
Success on 23 | Time: 46.052
Success on 24 | Time: 41.542
Success on 25 | Time: 40.552
Success on 26 | Time: 94.677
Success on 27 | Time: 47.219
Success on 28 | Time: 47.26
Success on 29 | Time: 61.031
Success on 30 | Time: 41.01
Success on 31 | Time: 110.406
Success on 32 | Time: 43.969
Success on 33 | Time: 79.927
Success on 34 | Time: 51.083
Success on 35 | Time: 44.354
Success on 36 | Time: 126.0
Success on 37 | Time: 36.896
Success on 38 | Time: 56.01
Success on 39 | Time: 96.396
Success on 40 | Time: 45.688
Success on 41 | Time: 50.094
Success on 42 | Time: 66.813
Success on 43 | Time: 41.198
Success on 44 | Time: 45.125
Success on 45 | Time: 41.635
Success on 46 | Time: 114.771
Success on 47 | Time: 47.365
