-------------------- 23x23 grids --------------------
Success on 0 | Time: 212.302
Success on 1 | Time: 211.188
Success on 2 | Time: 90.302
Success on 3 | Time: 108.552
Success on 4 | Time: 54.688
Success on 5 | Time: 195.531
Success on 6 | Time: 126.292
Success on 7 | Time: 128.719
Success on 8 | Time: 59.74
Success on 9 | Time: 66.531
Success on 10 | Time: 56.875
Success on 11 | Time: 115.0
Success on 12 | Time: 74.979
Success on 13 | Time: 60.01
Success on 14 | Time: 54.417
Success on 15 | Time: 207.052
Success on 16 | Time: 75.177
Success on 17 | Time: 168.958
Success on 18 | Time: 71.073
Success on 19 | Time: 126.198
Success on 20 | Time: 181.646
Success on 21 | Time: 86.802
Success on 22 | Time: 58.781
Success on 23 | Time: 60.365
Success on 24 | Time: 121.875
Success on 25 | Time: 120.042
Success on 26 | Time: 86.063
Success on 27 | Time: 56.479
Success on 28 | Time: 82.552
Success on 29 | Time: 478.125
Success on 30 | Time: 58.354
Success on 31 | Time: 59.531
Success on 32 | Time: 118.042
Success on 33 | Time: 143.844
Success on 34 | Time: 59.781
Success on 35 | Time: 88.802
Success on 36 | Time: 54.906
Success on 37 | Time: 89.74
Success on 38 | Time: 71.906
Success on 39 | Time: 87.625
Success on 40 | Time: 65.208
Success on 41 | Time: 66.156
Success on 42 | Time: 89.875
Success on 43 | Time: 79.052
Success on 44 | Time: 94.177
